asciiname	        months	    frequency
Gaza City	        2023-10	    4211
Gaza City	        2023-11	    4554
Gaza	            2023-11	    3
Gaza Strip	        2023-11	    3
Al-Shifa Hospital	2023-11	    1
Gaza City	        2023-12	    2893
Gaza City	        2024-01	    1966
An Nasr	            2024-01	    1
Al Mawasi	        2024-01	    1
Al Amal	            2024-01	    1
Al Mu'askar	        2024-01	    1
Markaz al Madinah	2024-01	    1
Gaza City	        2024-02	    1895
Gaza	            2024-02	    1
Gaza Strip	        2024-02	    1
Gaza City	        2024-03	    2213
Al-Shifa Hospital	2024-03	    1
Gaza City	        2024-04	    1002